usa_vizinhos,n_neuronios,n_classes,n_atributos,n_exemplos,precisao,cobertura,medida_f
False,15,3,4,150,0.20666666666666667,0.20666666666666667,0.20666666666666667
True,15,3,4,150,0.2,0.2,0.20000000000000004
False,25,3,4,150,0.20666666666666667,0.20666666666666667,0.20666666666666667
True,25,3,4,150,0.2,0.2,0.20000000000000004
False,50,3,4,150,0.20666666666666667,0.20666666666666667,0.20666666666666667
True,50,3,4,150,0.2,0.2,0.20000000000000004
False,85,3,4,150,0.20666666666666667,0.20666666666666667,0.20666666666666667
True,85,3,4,150,0.2,0.2,0.20000000000000004
False,115,3,4,150,0.20666666666666667,0.20666666666666667,0.20666666666666667
True,115,3,4,150,0.2,0.2,0.20000000000000004
False,15,5,4,150,0.02666666666666667,0.02666666666666667,0.026666666666666672
True,15,5,4,150,0.084,0.084,0.084
False,25,5,4,150,0.02666666666666667,0.02666666666666667,0.026666666666666672
True,25,5,4,150,0.086,0.086,0.086
False,50,5,4,150,0.02666666666666667,0.02666666666666667,0.026666666666666672
True,50,5,4,150,0.07666666666666666,0.07666666666666666,0.07666666666666666
False,85,5,4,150,0.02666666666666667,0.02666666666666667,0.026666666666666672
True,85,5,4,150,0.08266666666666667,0.08266666666666667,0.08266666666666667
False,115,5,4,150,0.02666666666666667,0.02666666666666667,0.026666666666666672
True,115,5,4,150,0.086,0.086,0.086
